category,c-upper,subcategory-1,sc-upper,subcategory-2,sc2-upper,name,name-upper,articul,color,size,,,image-src
Брошки,БРОШКИ,Пластик,ПЛАСТИК,,,Брошь пластик,БРОШЬ ПЛАСТИК,,,,,,http://velmode.by/media/k2/items/cache/fe392f78a62c6fc460cf8c2a182b395f_L.jpg
Брошки,БРОШКИ,Пластик,ПЛАСТИК,,,Брошь пластик,БРОШЬ ПЛАСТИК,,,,,,http://velmode.by/media/k2/items/cache/f7f8c4727a011019fe43a7eaa92bf9a5_L.jpg
Бусины,БУСИНЫ,Керамика,КЕРАМИКА,,,Бусина,БУСИНА,БК-1,Серый,"0,8 см",,,http://velmode.by/media/k2/items/cache/ce742d950ca63a98d59ecec5eba0da2e_L.jpg
Бусины,БУСИНЫ,Керамика,КЕРАМИКА,,,Бусина,БУСИНА,БК-2,Белый,"0,4 см",,,http://velmode.by/media/k2/items/cache/be76d1a55ee5ffb3b2dc895570c95b36_L.jpg
Бусины,БУСИНЫ,Пластик,ПЛАСТИК,,,Бусина,БУСИНА,БП-1,Белый,2 см,,,http://velmode.by/media/k2/items/cache/4246b121d2dc949b8f082c5f57840a3b_L.jpg
Бусины,БУСИНЫ,Пластик,ПЛАСТИК,,,Бусина,БУСИНА,БП-10,,"0,8 см",,,http://velmode.by/media/k2/items/cache/9feeafa8e740fdbe632b43236148b194_L.jpg
Бусины,БУСИНЫ,Пластик,ПЛАСТИК,,,Бусина,БУСИНА,БП-11,Черный,"0,8 см",,,http://velmode.by/media/k2/items/cache/2ee6f501a6569cf213987ad1c50a88aa_L.jpg
Бусины,БУСИНЫ,Пластик,ПЛАСТИК,,,Бусина,БУСИНА,БП-12,Белый,1 см,,,http://velmode.by/media/k2/items/cache/acaf69a47291143b36612c5b483fc572_L.jpg
Бусины,БУСИНЫ,Пластик,ПЛАСТИК,,,Бусина,БУСИНА,БП-13,Золотой,"1,5 см",,,http://velmode.by/media/k2/items/cache/9c2fe6cb8c357cf6d57c8926869c1003_L.jpg
Бусины,БУСИНЫ,Пластик,ПЛАСТИК,,,Бусина,БУСИНА,БП-2,Белый,"0,8 см",,,http://velmode.by/media/k2/items/cache/319a6b58175c8348e5b537a311344d30_L.jpg
Бусины,БУСИНЫ,Пластик,ПЛАСТИК,,,Бусина,БУСИНА,БП-3,Коричневый,2 см,,,http://velmode.by/media/k2/items/cache/f68bc1606a499c66a1eabd66e99d6817_L.jpg
Бусины,БУСИНЫ,Пластик,ПЛАСТИК,,,Бусина,БУСИНА,БП-4,Черный,1 см,,,http://velmode.by/media/k2/items/cache/66f461a82eb04828d9f9f9abb89cb004_L.jpg
Бусины,БУСИНЫ,Пластик,ПЛАСТИК,,,Бусина,БУСИНА,БП-5,Оранжевый,"1,1 см",,,http://velmode.by/media/k2/items/cache/57df6a0f34180006582f429068c6ac21_L.jpg
Бусины,БУСИНЫ,Пластик,ПЛАСТИК,,,Бусина,БУСИНА,БП-6,Малиновый,"1,2 см",,,http://velmode.by/media/k2/items/cache/c66733db6fd9c6779ab24f57f69f5201_L.jpg
Бусины,БУСИНЫ,Пластик,ПЛАСТИК,,,Бусина,БУСИНА,БП-7,Голубой,"1,5 см",,,http://velmode.by/media/k2/items/cache/20e6d0dc79365d45f8620c21a172f633_L.jpg
Бусины,БУСИНЫ,Пластик,ПЛАСТИК,,,Бусина,БУСИНА,БП-8,Белый/бензин,"1,5 см",,,http://velmode.by/media/k2/items/cache/2ec788b5d2483f73e1f9efd1de8baaf4_L.jpg
Бусины,БУСИНЫ,Пластик,ПЛАСТИК,,,Бусина,БУСИНА,БП-9,Бордовый,1 см,,,http://velmode.by/media/k2/items/cache/b7e607e23f1646b9ce9f7d0da4fbe580_L.jpg
Бусы,БУСЫ,,,,,Бусы,БУСЫ,Б-1,Серебро,3х20 см,,,http://velmode.by/media/k2/items/cache/ec9e5d4418cddeb916f54861fa51abb5_L.jpg
